policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture
risk,good,2032,0.155082354891496,47.67229698360932,9.444444444444445,1.7176583623466506,234,4178,609.3599999999999,0.0,1,46.25,330.0,0.3592808054995723,0.2953020287262644,0.13845673548258824,0.03177811101318515,0.1547925443439462
cvoi,good,2032,0.09739276959034476,30.07870761973208,9.444444444444445,1.7353262098797453,718,12918,1658.1599999999999,0.0,718,1.6444444444444444,4.0,0.9775612014557026,0.30777669796696094,0.023586855618828145,0.025117079142928815,0.0330904456326612
periodic_all,good,2033,0.17619543506639262,58.553987069040915,15.555555555555555,2.0461309312246807,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30746641248670137,0.022459805562434453,0.028376762792120973,0.3464787594243138
round_robin,good,2033,0.09781122979259246,29.976564921241604,10.555555555555555,2.386346588708365,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.313676630706294,0.02265834308267623,0.024029617473419484,0.030880327907980176
error_trigger,good,2033,0.0960249979422645,29.770149929309582,10.555555555555555,1.767042177312581,720,12856,1650.72,0.0,720,3.326388888888889,21.0,0.8266983489414553,0.30746641248670137,0.022844073020673105,0.024090756442151064,0.02969874981953248
aoi,good,2033,0.0966076374373736,29.70449573547612,10.833333333333334,2.1191292141935243,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3098934085050849,0.022767714016264463,0.02359719626086659,0.030172230967278453
risk,good,2033,0.13225910218039091,39.93298118003631,10.277777777777779,1.739151704032298,208,3712,553.44,0.0,0,95.35833333333332,360.0,0.555816420613524,0.29520889945052237,0.050618533459299765,0.028376762792120973,0.15483221301962055
cvoi,good,2033,0.09618377005540593,29.733986119218105,10.555555555555555,1.768284766399817,718,12918,1658.1599999999999,0.0,718,1.6423611111111112,4.0,0.9779151819680014,0.3075151918747065,0.022536285998324374,0.02409346032593554,0.030590142022657307
periodic_all,good,2034,0.1007438468453517,31.481856173270558,10.555555555555555,1.6016062652188734,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3072339718610631,0.020865938260663144,0.027876530248118907,0.04699894701156166
round_robin,good,2034,0.09687574660242673,30.064085172825866,10.833333333333334,2.2305541630376164,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.312210308006233,0.020959820961145095,0.02343927116333752,0.030893586278991324
error_trigger,good,2034,0.09532592203631726,29.934823852966066,10.555555555555555,1.6016062652188734,720,12790,1642.8,0.0,720,3.75625,32.0,0.7645935961530759,0.3072339718610631,0.020359986782590912,0.024085036312520226,0.02962469318909475
aoi,good,2034,0.0958924042291135,29.88186217935825,10.833333333333334,1.9300605111241875,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.30925177371000795,0.02103142573697106,0.023133780803025698,0.03015263666644927
risk,good,2034,0.10018950938795408,30.091159431802417,10.0,1.5790755415979114,198,3564,535.6800000000001,0.0,0,136.42847222222224,360.0,0.7615798821324955,0.2947688121565386,0.03111374813559712,0.027876530248118907,0.04699894701156166
cvoi,good,2034,0.09549504340578735,29.875566648281527,10.555555555555555,1.6014897337169032,718,12914,1657.6799999999998,0.0,718,1.6465277777777778,4.0,0.9768456123717703,0.3070345347275627,0.021187402456916263,0.02360820569698557,0.030150030741684885
periodic_all,good,2035,0.12006494987111416,37.80347691469626,10.555555555555555,1.7151290976582714,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3070747782887065,0.022819319540738844,0.044453036606854526,0.1059126650481568
round_robin,good,2035,0.09736945848113969,29.994596229593856,11.38888888888889,2.355996575704903,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31263098919336857,0.023275304135917083,0.023111280916831456,0.030460259678441626
