policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture,rmse_light,rmse_ventilation
cvoi,good,2027,0.18200274263289462,48.14527590153798,33.333333333333336,19.233580478260308,360,6472,884.64,0.0,1761,11.780092592592593,74.0,0.8749538152843205,0.324309121306787,0.043827211738255746,0.0407340819264835,0.038794693918212754,0.3811940952667627,0.26315725164086595
periodic_all,good,2028,0.23383320500005764,68.69944417817068,33.05555555555556,21.10815518747634,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.3448066218563921,0.09482917171038226,0.04044533614463127,0.2611595418281092,0.39928772165080556,0.2624708368100255
round_robin,good,2028,0.18794992785205347,51.629251994269964,41.94444444444444,42.86958153060428,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.49290338121969623,0.021052956217089212,0.039309591483382804,0.041253081049021006,0.37916515250225513,0.15401540464087637
error_trigger,good,2028,0.20562202299292573,57.460506961704844,29.72222222222222,18.85062120543188,360,6438,880.56,0.0,1800,60.947222222222216,360.0,0.5135070130401543,0.31548373633373145,0.08519364971717744,0.04044533614463127,0.20509660938207344,0.37919075161179355,0.2083220547681473
aoi,good,2028,0.20027190022506655,54.83561634297315,49.166666666666664,57.658056410974616,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.567867085601839,0.021619856676783372,0.03886539967792729,0.04210323229099715,0.37856483489759596,0.15261099220525648
risk,good,2028,0.2259780683260065,63.720344466546045,29.444444444444443,22.242896688312022,296,5304,744.48,0.0,314,77.85601851851851,360.0,0.5325688816885421,0.31137936298104835,0.09482917171038226,0.04044533614463127,0.22765596958406015,0.37919075161179355,0.3023678179241235
cvoi,good,2028,0.18267257495472766,48.22480371933585,30.0,17.83293248341701,360,6474,884.88,0.0,1770,11.839814814814815,75.0,0.8793778289108269,0.32397942777954936,0.05080839404073214,0.03877050847690597,0.08980541602769224,0.3799765374022976,0.21269516600118865
periodic_all,good,2029,0.23282325203070495,68.84705410126844,33.888888888888886,20.70841901862091,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.34417212189181456,0.0562228647852712,0.03756461447845061,0.3083199349260179,0.3955366579574878,0.25512331814518757
round_robin,good,2029,0.19050406983669843,52.67296970520672,45.27777777777778,46.36148112269545,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.5074239185787269,0.022026269992074802,0.03543529417383642,0.03852161857391681,0.3866590823374038,0.15295823536423175
error_trigger,good,2029,0.2260340762440397,62.92620057252489,31.11111111111111,24.577370067005656,360,6430,879.6,0.0,1800,40.926388888888894,265.0,0.5951980727304287,0.30370523109001507,0.11407908458722146,0.05652619640050416,0.27309191752828466,0.3870880177988496,0.2217140100593634
