plant,controller_family,contrast,network,n_pairs,transmission_reduction_pct_mean,transmission_reduction_ci95_low,transmission_reduction_ci95_high,nrmse_difference_mean,nrmse_difference_ci95_low,nrmse_difference_ci95_high,violation_difference_pp_mean,violation_difference_pp_ci95_low,violation_difference_pp_ci95_high,tradeoff_gate,failure_reason,interval_scope
greenhouse,MPC,ET-MPC_minus_TT-MPC,N0_ideal,50,73.97916666666667,73.82293707879788,74.13539625453546,-0.0004645389825252233,-0.0008176158104072676,-0.00011146215464317907,-0.017361111111111,-0.040200968846363,0.005478746624140999,pass,,unadjusted paired 95% t-CI; not simultaneous
greenhouse,PI,ET-PI_minus_TT-PI,N5_full_stress,50,33.45833333333333,32.18354069143023,34.733125975236426,1.9573405440582726e-05,-0.0002384111712038781,0.00027755798208504355,0.017361111111110574,-0.10523069245370503,0.1399529146759262,pass,,unadjusted paired 95% t-CI; not simultaneous
irrigation,MPC,ET-MPC_minus_TT-MPC,N0_ideal,50,15.458333333333332,14.912469523771673,16.00419714289499,-9.174515325580113e-06,-0.00014202915772704467,0.00012368012707588444,0.00297619047619027,-0.03171963950125868,0.037672020453639224,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,PI,ET-PI_minus_TT-PI,N0_ideal,50,15.488095238095235,14.904347872348199,16.07184260384227,2.7884490785648476e-05,-0.0007093649143731993,0.0007651338959444963,0.04761904761904787,-0.07394778947344688,0.16918588471154264,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,MPC,ET-MPC_minus_TT-MPC,N1_nominal,50,15.845238095238097,15.283516148610179,16.406960041866014,6.82928877676836e-05,-3.786632765804698e-05,0.00017445210319341417,-0.01785714285714317,-0.047007470686889506,0.01129318497260317,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,PI,ET-PI_minus_TT-PI,N1_nominal,50,15.922619047619051,15.381364531571585,16.463873563666517,-0.0003267070496904989,-0.0008391953967932706,0.0001857812974122728,-0.011904761904761472,-0.14749527633764042,0.12368575252811748,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,MPC,ET-MPC_minus_TT-MPC,N2_iid_loss,50,14.464285714285717,13.758477900168554,15.17009352840288,5.365935792398524e-06,-0.00012820613485394202,0.00013893800643873907,-0.008928571428571633,-0.0364957498982293,0.018638607041086032,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,PI,ET-PI_minus_TT-PI,N2_iid_loss,50,14.392857142857142,13.71603399669057,15.069680289023715,-0.00012432773716632983,-0.0006838664694016604,0.0004352109950690007,0.06547619047619038,-0.032747662982186274,0.16370004393456705,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,MPC,ET-MPC_minus_TT-MPC,N3_burst_loss,50,14.220238095238097,13.68548585990779,14.754990330568404,7.227194958715821e-05,-3.902758912890685e-05,0.00018357148830322326,2.486899575160351e-16,-0.029597673574320155,0.029597673574320655,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,PI,ET-PI_minus_TT-PI,N3_burst_loss,50,14.291666666666668,13.782022000015676,14.80131133331766,0.00013679977087066808,-0.000582848842528878,0.0008564483842702143,0.05654761904761941,-0.0936174352487033,0.2067126733439421,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,MPC,ET-MPC_minus_TT-MPC,N4_contention_duty,50,13.31547619047619,12.771648973297852,13.859303407654528,-2.7802071979994846e-05,-0.0002374540093796491,0.0001818498654196594,-0.0029761904761903325,-0.03971587380806003,0.03376349285567936,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,PI,ET-PI_minus_TT-PI,N4_contention_duty,50,13.446428571428571,12.874115885219247,14.018741257637895,0.00028521746102937005,-0.0005092106076060895,0.0010796455296648295,3.730349362740526e-16,-0.1658966545627976,0.1658966545627983,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,MPC,ET-MPC_minus_TT-MPC,N5_full_stress,50,6.767857142857143,6.299312477221211,7.236401808493076,3.4915303318056036e-05,-2.0236385207230053e-05,9.006699184334213e-05,0.01785714285714283,-0.0024339998429531336,0.03814828555723879,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
irrigation,PI,ET-PI_minus_TT-PI,N5_full_stress,50,6.666666666666665,6.215201071024205,7.118132262309126,0.00033809378523393216,-8.531086270027288e-05,0.0007614984331681372,0.044642857142857935,-0.03830547013854104,0.1275911844242569,fail,transmission reduction lower CI <20%,unadjusted paired 95% t-CI; not simultaneous
