plant,network,policy,n_completed,nrmse_mean,nrmse_sd,nrmse_ci_low,nrmse_ci_high,violation_pct_mean,violation_pct_sd,violation_pct_ci_low,violation_pct_ci_high,transmissions_mean,transmissions_sd,transmissions_ci_low,transmissions_ci_high,total_modeled_energy_mj_mean,total_modeled_energy_mj_sd,total_modeled_energy_mj_ci_low,total_modeled_energy_mj_ci_high,command_applied_pct_mean,command_applied_pct_sd,command_applied_pct_ci_low,command_applied_pct_ci_high,deadline_miss_pct_mean,deadline_miss_pct_sd,deadline_miss_pct_ci_low,deadline_miss_pct_ci_high
irrigation,N0_ideal,ET-PI,50,0.4134894345626779,0.09523529749949011,0.3864238624811225,0.4405550066442333,24.74404761904762,12.687285703414307,21.138360917361346,28.349734320733894,283.96,6.901523049890022,281.99860885108995,285.92139114891,1511.3151231543127,168.64243438087846,1463.3874736001221,1559.2427727085033,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
irrigation,N0_ideal,TT-MPC,50,0.3811879959013831,0.10447731558016224,0.351495871342866,0.4108801204599002,20.110119047619047,12.586793821733876,16.5329918227092,23.687246272528895,336.0,0.0,336.0,336.0,1672.2465805079594,132.6837386034774,1634.5382792214336,1709.9548817944851,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
irrigation,N0_ideal,TT-PI,50,0.41346155007189217,0.09575752272136548,0.3862475632244192,0.4406755369193651,24.69642857142857,12.821185107227686,21.052688080225778,28.34016906263136,336.0,0.0,336.0,336.0,1649.6426930410619,167.4175417975549,1602.063154107372,1697.2222319747518,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
irrigation,N1_nominal,ET-MPC,50,0.389969582459305,0.10691091588820749,0.359585836345708,0.42035332857290203,21.651785714285715,12.420070254070207,18.12204080304291,25.18153062552852,282.76,6.641121124924493,280.8726142593302,284.6473857406698,1611.0567439903791,116.50980695547058,1577.9450232192198,1644.1684647615384,97.58052972448844,0.8214895612938555,97.34706497434617,97.81399447463072,0.0,0.0,0.0,0.0
irrigation,N1_nominal,ET-PI,50,0.4141011402843358,0.10521285445643465,0.3841999778900872,0.4440023026785844,25.33333333333334,12.92595884632206,21.659816474941398,29.00685019172528,282.5,6.399138972692868,280.6813848260805,284.3186151739195,1574.0653422406922,142.34900689317217,1533.6102020987128,1614.5204823826716,97.59984926486717,0.8307107301657898,97.3637638875275,97.83593464220685,0.0,0.0,0.0,0.0
irrigation,N1_nominal,TT-MPC,50,0.3899012895715373,0.10695788436868355,0.35950419516348153,0.42029838397959307,21.669642857142858,12.403198705876878,18.144692786843944,25.19459292744177,336.0,0.0,336.0,336.0,1765.686727988286,113.32094448125939,1733.481271904906,1797.8921840716662,97.625,0.7641005243245675,97.40784503370432,97.84215496629568,0.0,0.0,0.0,0.0
irrigation,N1_nominal,TT-PI,50,0.4144278473340263,0.1052251985613909,0.38452317678396525,0.4443325178840874,25.345238095238095,12.955220114051567,21.66340527656961,29.02707091390658,336.0,0.0,336.0,336.0,1733.0248560621342,144.28726079376682,1692.0188702564533,1774.030841867815,97.625,0.7641005243245675,97.40784503370432,97.84215496629568,0.0,0.0,0.0,0.0
irrigation,N2_iid_loss,ET-MPC,50,0.3813003279930824,0.10008812796723299,0.3528555967523406,0.4097450592338242,21.235119047619047,12.035326673002965,17.81471705228772,24.655521042950376,287.4,8.344618209434419,285.0284857445663,289.77151425543366,1716.2447199886215,112.29785600434964,1684.330022433273,1748.15941754397,86.16679538758957,1.8776888241151102,85.63316212817658,86.70042864700257,0.0,0.0,0.0,0.0
irrigation,N2_iid_loss,ET-PI,50,0.39373158414745896,0.10276640346731718,0.3645256954314419,0.422937472863476,23.03571428571429,12.523117131033631,19.476683776069827,26.59474479535875,287.64,8.001938540638966,285.36587422888033,289.91412577111964,1678.0720257333721,134.72092435404534,1639.7847626624743,1716.35928880427,86.15459022653678,1.85603134919366,85.62711195339445,86.68206849967912,0.0,0.0,0.0,0.0
irrigation,N2_iid_loss,TT-MPC,50,0.3812949620572901,0.10020778053502456,0.3528162259330299,0.40977369818155024,21.24404761904762,12.043483853120566,17.82132737877716,24.66676785931808,336.0,0.0,336.0,336.0,1877.7952879872973,114.68775681834335,1845.2013881356652,1910.3891878389295,86.33928571428572,1.7676544647948482,85.83692387378804,86.8416475547834,0.0,0.0,0.0,0.0
irrigation,N2_iid_loss,TT-PI,50,0.39385591188462526,0.10273864464659796,0.36465791213816895,0.4230539116310816,22.97023809523809,12.548488143972993,19.40399722349552,26.536478966980663,336.0,0.0,336.0,336.0,1841.7182257384131,138.5877532454126,1802.3320220558487,1881.1044294209776,86.33928571428572,1.7676544647948482,85.83692387378804,86.8416475547834,0.0,0.0,0.0,0.0
irrigation,N3_burst_loss,ET-MPC,50,0.3986737758590105,0.10627204369155313,0.36847159521476625,0.4288759565032547,22.71130952380953,12.73776067481131,19.091277993970987,26.33134105364807,288.22,6.322263867331326,286.42323248929017,290.0167675107099,1773.956351988415,116.71455526768848,1740.7864423907554,1807.1262615860746,78.0537032716825,2.825120953614123,77.25081278027027,78.85659376309472,0.0,0.0,0.0,0.0
irrigation,N3_burst_loss,ET-PI,50,0.4174680245992251,0.10610817446686092,0.38731241507335096,0.44762363412509926,25.324404761904763,13.870279606042006,21.382514913021073,29.266294610788453,287.98,6.025422332560124,286.26759392005266,289.6924060799474,1739.0165560893483,135.81255098092484,1700.419056163716,1777.6140560149806,78.07931934232579,2.9213569983010466,77.24907886962819,78.90955981502339,0.0,0.0,0.0,0.0
irrigation,N3_burst_loss,TT-MPC,50,0.3986015039094233,0.10634427553850136,0.36837879520140976,0.4288242126174368,22.711309523809522,12.768483980775265,19.082546527025592,26.340072520593452,336.0,0.0,336.0,336.0,1938.121071985156,107.72116830990089,1907.507054681156,1968.7350892891561,78.22023809523809,2.635841828162025,77.47114013609033,78.96933605438585,0.0,0.0,0.0,0.0
irrigation,N3_burst_loss,TT-PI,50,0.4173312248283545,0.10622799968490441,0.38714156135230327,0.44752088830440573,25.267857142857142,13.86471703807821,21.327548158297247,29.208166127417037,336.0,0.0,336.0,336.0,1907.5559647600205,134.62170600112137,1869.2968992330311,1945.81503028701,78.22023809523809,2.635841828162025,77.47114013609033,78.96933605438585,0.0,0.0,0.0,0.0
irrigation,N4_contention_duty,ET-MPC,50,0.3828630228673703,0.09586983991283533,0.35561711582726346,0.4101089299074771,19.979166666666668,12.108348266857687,16.538012163978543,23.420321169354793,291.26,6.4295554802388475,289.43274055028076,293.0872594497192,2147.6914400127534,149.47351781779935,2105.21153626905,2190.1713437564567,70.60572113043031,2.960417052324202,69.76437991320384,71.44706234765678,0.0,0.0,0.0,0.0
irrigation,N4_contention_duty,ET-PI,50,0.41381330520941345,0.08667568052533149,0.38918034935616175,0.43844626106266515,24.342261904761905,12.469162077171623,20.798565251763126,27.885958557760684,290.82,6.7663332245849706,288.8970293743367,292.7429706256633,2109.0049037823806,174.9931510236811,2059.272400528161,2158.7374070366,70.53072103243179,2.936375647853478,69.69621230675759,71.36522975810598,0.0,0.0,0.0,0.0
irrigation,N4_contention_duty,TT-MPC,50,0.38289082493935034,0.0957468049930955,0.35567988403654976,0.4101017658421509,19.982142857142854,12.122456853109059,16.5369787386066,23.42730697567911,336.0,0.0,336.0,336.0,2354.1484000151304,148.92383836700685,2311.8247134428725,2396.4720865873883,70.51190476190476,2.688231689315119,69.74791776895744,71.27589175485208,0.0,0.0,0.0,0.0
irrigation,N4_contention_duty,TT-PI,50,0.413528087748384,0.08717284899643123,0.38875383817899417,0.43830233731777385,24.342261904761898,12.57745803236499,20.76778788183426,27.916735927689537,336.0,0.0,336.0,336.0,2320.959133605559,175.27225514779133,2271.1473098369115,2370.770957374207,70.51190476190476,2.688231689315119,69.74791776895744,71.27589175485208,0.0,0.0,0.0,0.0
irrigation,N5_full_stress,ET-MPC,50,0.41974839630000255,0.1140648491340904,0.3873315248534992,0.4521652677465059,25.34226190476191,13.13711010734256,21.608736521953983,29.075787287569835,313.26,5.539505614130163,311.68568992346326,314.8343100765367,3191.0448000235797,147.7624544175568,3149.0511751177787,3233.0384249293807,18.779353414745362,1.9663967552757171,18.220509640238998,19.338197189251726,0.0,0.0,0.0,0.0
irrigation,N5_full_stress,ET-PI,50,0.45785423447460716,0.10013881323010797,0.4293950986415363,0.486313370307678,31.002976190476193,12.975233738612836,27.315455562640324,34.69049681831206,313.6,5.3375833406484015,312.08307559864136,315.1169244013587,3120.4521824948233,138.3250068351156,3081.140650515858,3159.7637144737887,18.801304896097605,1.9480941156642912,18.24766267421608,19.35494711797913,0.0,0.0,0.0,0.0
irrigation,N5_full_stress,TT-MPC,50,0.4197134809966845,0.11410869174236057,0.38728414961877405,0.4521428123745949,25.324404761904766,13.127042020994283,21.59374069757788,29.055068826231654,336.0,0.0,336.0,336.0,3363.1471600259856,127.89492946787558,3326.799823237367,3399.494496814604,18.738095238095237,1.9750602690335703,18.176789320221346,19.29940115596913,0.0,0.0,0.0,0.0
irrigation,N5_full_stress,TT-PI,50,0.45751614068937324,0.10026854499424709,0.4290201354968761,0.48601214588187036,30.95833333333334,12.946095552166076,27.279093686460484,34.637572980206194,336.0,0.0,336.0,336.0,3289.880358455198,123.59978254946458,3254.753688914684,3325.0070279957117,18.738095238095237,1.9750602690335703,18.176789320221346,19.29940115596913,0.0,0.0,0.0,0.0
