plant,network,contrast,metric,n_pairs,mean_difference,sd_difference,ci95_low,ci95_high,p_value,cohen_dz,probability_A_better,better_direction,crn_gate,holm_family,p_value_holm
greenhouse,N2_iid_loss,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N2_iid_loss:deadline_miss_pct,1.0
greenhouse,N3_burst_loss,ET-MPC_minus_TT-MPC,nrmse,50,0.00023169768383109467,0.0022923185326829483,-0.0004197720349519847,0.000883167402614174,0.478177747473693,0.10107569280954763,0.48,lower,True,network_metric:N3_burst_loss:nrmse,0.956355494947386
greenhouse,N3_burst_loss,ET-MPC_minus_TT-MPC,violation_pct,50,0.0034722222222222853,0.08935458102505858,-0.02192206872923777,0.028866513173682343,0.7846450935789836,0.038858916715736554,0.12,lower,True,network_metric:N3_burst_loss:violation_pct,1.0
greenhouse,N3_burst_loss,ET-MPC_minus_TT-MPC,transmissions,50,-196.82,4.5296753949564055,-198.10731950366298,-195.532680496337,3.7337633355742634e-82,-43.451237194424664,1.0,lower,True,network_metric:N3_burst_loss:transmissions,1.120129000672279e-81
greenhouse,N3_burst_loss,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-677.1003119978835,22.533073136540022,-683.5041405279435,-670.6964834678236,2.5974840970972543e-74,-30.049177397817342,1.0,lower,True,network_metric:N3_burst_loss:total_modeled_energy_mj,7.792452291291762e-74
greenhouse,N3_burst_loss,ET-MPC_minus_TT-MPC,command_applied_pct,50,-1.754686643108474,4.055355614207022,-2.9072059565830637,-0.6021673296338843,0.003589412681340211,-0.4326837915178945,0.28,higher,True,network_metric:N3_burst_loss:command_applied_pct,0.014357650725360844
greenhouse,N3_burst_loss,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N3_burst_loss:deadline_miss_pct,1.0
greenhouse,N3_burst_loss,ET-PI_minus_TT-PI,nrmse,50,-0.00025753894603634196,0.0003229761633222293,-0.0003493277560525948,-0.00016575013602008912,8.397934799363278e-07,-0.7973930440786076,0.82,lower,True,network_metric:N3_burst_loss:nrmse,3.3591739197453114e-06
greenhouse,N3_burst_loss,ET-PI_minus_TT-PI,violation_pct,50,-0.13194444444444542,0.261442141926677,-0.2062454790740753,-0.05764340981481551,0.000814517758311403,-0.5046793277934896,0.5,lower,True,network_metric:N3_burst_loss:violation_pct,0.003258071033245612
greenhouse,N3_burst_loss,ET-PI_minus_TT-PI,transmissions,50,-196.54,4.036618103596835,-197.68719417187936,-195.39280582812063,1.4161938614133326e-84,-48.689272791219146,1.0,lower,True,network_metric:N3_burst_loss:transmissions,5.66477544565333e-84
greenhouse,N3_burst_loss,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-696.035154357937,22.97759510506874,-702.5653146336516,-689.5049940822224,1.7519700783370155e-74,-30.29190614488612,1.0,lower,True,network_metric:N3_burst_loss:total_modeled_energy_mj,7.007880313348062e-74
greenhouse,N3_burst_loss,ET-PI_minus_TT-PI,command_applied_pct,50,-1.5682052027939781,4.002920694565212,-2.7058226769881943,-0.4305877285997619,0.007892189100943298,-0.39176524404371516,0.34,higher,True,network_metric:N3_burst_loss:command_applied_pct,0.023676567302829896
greenhouse,N3_burst_loss,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N3_burst_loss:deadline_miss_pct,1.0
greenhouse,N4_contention_duty,ET-MPC_minus_TT-MPC,nrmse,50,-0.00027176233052546127,0.0025453930426089554,-0.0009951550292356347,0.0004516303681847121,0.45389119992042304,-0.10676635237712154,0.6,lower,True,network_metric:N4_contention_duty:nrmse,1.0
greenhouse,N4_contention_duty,ET-MPC_minus_TT-MPC,violation_pct,50,2.842170943040401e-16,0.1888832615541649,-0.053680028989470864,0.05368002898947143,0.9999999999999916,1.5047235629322128e-15,0.18,lower,True,network_metric:N4_contention_duty:violation_pct,1.0
greenhouse,N4_contention_duty,ET-MPC_minus_TT-MPC,transmissions,50,-193.12,4.108925079156646,-194.28774358696387,-191.95225641303614,7.983364303732842e-84,-47.000126865208685,1.0,lower,True,network_metric:N4_contention_duty:transmissions,3.1933457214931368e-83
greenhouse,N4_contention_duty,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-892.559920002516,38.58312286425883,-903.5251221957438,-881.5947178092882,9.39333204911429e-69,-23.13342865331753,1.0,lower,True,network_metric:N4_contention_duty:total_modeled_energy_mj,3.757332819645716e-68
greenhouse,N4_contention_duty,ET-MPC_minus_TT-MPC,command_applied_pct,50,0.16089667366401217,3.766797565904573,-0.9096153498550367,1.2314086971830611,0.7639023484861677,0.04271444664836238,0.48,higher,True,network_metric:N4_contention_duty:command_applied_pct,1.0
greenhouse,N4_contention_duty,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N4_contention_duty:deadline_miss_pct,1.0
greenhouse,N4_contention_duty,ET-PI_minus_TT-PI,nrmse,50,-0.00014127050587496635,0.00034228509521986726,-0.0002385468536195091,-4.3994158130423604e-05,0.005299543151326321,-0.4127276000265833,0.68,lower,True,network_metric:N4_contention_duty:nrmse,0.021198172605305283
greenhouse,N4_contention_duty,ET-PI_minus_TT-PI,violation_pct,50,-0.11458333333333413,0.1471885925095025,-0.15641386848937708,-0.07275279817729119,1.3430314066560184e-06,-0.7784797135412286,0.52,lower,True,network_metric:N4_contention_duty:violation_pct,5.372125626624074e-06
greenhouse,N4_contention_duty,ET-PI_minus_TT-PI,transmissions,50,-192.68,4.6879785470011335,-194.01230876168916,-191.34769123831086,5.687419450362604e-81,-41.10087067767322,1.0,lower,True,network_metric:N4_contention_duty:transmissions,1.706225835108781e-80
greenhouse,N4_contention_duty,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-918.537008827759,41.90052031030627,-930.445004943583,-906.629012711935,1.3044556190924531e-67,-21.921852092176202,1.0,lower,True,network_metric:N4_contention_duty:total_modeled_energy_mj,3.91336685727736e-67
greenhouse,N4_contention_duty,ET-PI_minus_TT-PI,command_applied_pct,50,0.12375799391095882,3.6267132946061134,-0.9069425202006571,1.1544585080225747,0.8103347807992809,0.0341240081191474,0.48,higher,True,network_metric:N4_contention_duty:command_applied_pct,1.0
greenhouse,N4_contention_duty,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N4_contention_duty:deadline_miss_pct,1.0
greenhouse,N5_full_stress,ET-MPC_minus_TT-MPC,nrmse,50,0.00015261263174242145,0.006093265709886774,-0.0015790743227073558,0.0018842995861921988,0.8601577063784334,0.025046114679488894,0.24,lower,True,network_metric:N5_full_stress:nrmse,1.0
greenhouse,N5_full_stress,ET-MPC_minus_TT-MPC,violation_pct,50,-0.048611111111111424,0.4910964800408281,-0.18817918648373622,0.09095696426151338,0.48728179812792605,-0.09898484938656057,0.04,lower,True,network_metric:N5_full_stress:violation_pct,0.9745635962558521
greenhouse,N5_full_stress,ET-MPC_minus_TT-MPC,transmissions,50,-101.08,9.171473075103417,-103.68650380820814,-98.47349619179185,4.861366899745562e-53,-11.021130321408071,1.0,lower,True,network_metric:N5_full_stress:transmissions,1.9445467598982248e-52
greenhouse,N5_full_stress,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-757.6532000023951,78.23114438775394,-779.8862452392273,-735.420154765563,2.58696228517555e-50,-9.684802720602868,1.0,lower,True,network_metric:N5_full_stress:total_modeled_energy_mj,1.03478491407022e-49
greenhouse,N5_full_stress,ET-MPC_minus_TT-MPC,command_applied_pct,50,0.2526548259499929,1.607266022229465,-0.20412512351275086,0.7094347754127366,0.27176051785630645,0.15719540042259542,0.56,higher,True,network_metric:N5_full_stress:command_applied_pct,1.0
greenhouse,N5_full_stress,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N5_full_stress:deadline_miss_pct,1.0
greenhouse,N5_full_stress,ET-PI_minus_TT-PI,nrmse,50,1.9573405440582726e-05,0.0009077671749550274,-0.0002384111712038781,0.00027755798208504355,0.8794444134004319,0.021562142783530844,0.48,lower,True,network_metric:N5_full_stress:nrmse,1.0
greenhouse,N5_full_stress,ET-PI_minus_TT-PI,violation_pct,50,0.017361111111110574,0.43136228003288934,-0.10523069245370503,0.1399529146759262,0.7771572282660386,0.04024717022032356,0.38,lower,True,network_metric:N5_full_stress:violation_pct,0.9745635962558521
greenhouse,N5_full_stress,ET-PI_minus_TT-PI,transmissions,50,-96.36,12.918520165456496,-100.03140280868091,-92.68859719131909,7.87053818173009e-45,-7.459058682097507,1.0,lower,True,network_metric:N5_full_stress:transmissions,2.361161454519027e-44
