plant,policy,network,seed,forecast,trigger_delta,model_scale,fallback,random_tape_sha256,config_sha256,preregistration_sha256,nrmse,violation_pct,transmissions,command_applied_pct,deadline_miss_pct,tx_energy_mj,rx_energy_mj,listen_energy_mj,retry_energy_mj,compute_energy_mj,baseline_energy_mj,actuation_energy_mj,total_modeled_energy_mj,status,setting_id
greenhouse,ET-MPC,N0_ideal,2031,persistence,0.035,1.0,hold,bd137e2eb90544ea17aaa2e6cc72b03e78a051a63acdee1b1a04e4a9434895c2,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39631067688692234,43.22916666666667,75,100.0,0.0,90.00057600018307,59.999999999999915,45.000000000000064,0.0,0.3000000000000002,86.39999999999954,652.7999999999997,934.5005760001823,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2032,persistence,0.035,1.0,hold,e3d2b52ba24081c866cafe82cdd8f70ad37d97564597e35d3080623e3b65bf7c,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39653136628548646,43.22916666666667,75,100.0,0.0,90.00057600011031,59.999999999999915,45.000000000000064,0.0,0.3000000000000002,86.39999999999954,650.3999999999997,932.1005760001096,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2033,persistence,0.035,1.0,hold,4088609eeada74ff2c4c9a9b5abd65fae56c47b9e98f5e32b2c5545cbf2c1b3e,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39461806983826087,43.40277777777778,73,100.0,0.0,87.60056064019999,58.39999999999992,43.80000000000006,0.0,0.2920000000000002,86.39999999999954,652.7999999999997,929.2925606401993,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2034,persistence,0.035,1.0,hold,8e74299431c2b529d5c30240dcaaa4d62b0e11d1afd785e130ff9f101edef38a,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3968707052590425,43.40277777777778,75,100.0,0.0,90.00057600025583,59.999999999999915,45.000000000000064,0.0,0.3000000000000002,86.39999999999954,650.3999999999997,932.1005760002552,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2035,persistence,0.035,1.0,hold,be3a7ed2618c6b47d14916ed2570cf53e2993d3429b0fdd9c43e08afb239e55e,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39505829092772266,43.22916666666667,74,100.0,0.0,88.80056832026429,59.19999999999992,44.40000000000006,0.0,0.2960000000000002,86.39999999999954,655.1999999999997,934.2965683202635,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2036,persistence,0.035,1.0,hold,bb8839cdd1ec91e063f696cba75304f9e97656f7ccdbddb1d1037f9e397180d3,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39663359082604205,43.22916666666667,73,100.0,0.0,87.60056064019999,58.39999999999992,43.80000000000006,0.0,0.2920000000000002,86.39999999999954,650.3999999999997,926.8925606401992,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2037,persistence,0.035,1.0,hold,a98ffacd0048a0491986d921fec59d993bc37a3b3b672e8e4d1ce656b5b64851,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3969222324598898,43.22916666666667,74,100.0,0.0,88.80056832033705,59.19999999999992,44.40000000000006,0.0,0.2960000000000002,86.39999999999954,650.3999999999997,929.4965683203363,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2038,persistence,0.035,1.0,hold,e33608b143fa1a22683a8746bc1beb4c0f8ef13be52642e76c1d85176e603660,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39733090941267313,43.40277777777778,71,100.0,0.0,85.2005452802169,56.799999999999926,42.60000000000006,0.0,0.2840000000000002,86.39999999999954,645.5999999999998,916.8845452802162,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2039,persistence,0.035,1.0,hold,208333e53050291c6bb1667850435ff6b51648c179582754769d781c876837a2,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3975610429525601,43.40277777777778,75,100.0,0.0,90.00057600020126,59.999999999999915,45.000000000000064,0.0,0.3000000000000002,86.39999999999954,652.7999999999997,934.5005760002005,completed,trigger_0.035
greenhouse,ET-MPC,N0_ideal,2040,persistence,0.035,1.0,hold,62bf66db5acc0cb110c6d48808073129454e81bd44dd6768273f5e705b910d3b,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3979689350958009,43.40277777777778,80,100.0,0.0,96.00061440023174,63.9999999999999,48.00000000000007,0.0,0.32000000000000023,86.39999999999954,647.9999999999998,942.7206144002309,completed,trigger_0.035
