network,policy,rmse_total_mean,rmse_total_std,iae_total_mean,iae_total_std,violation_pct_mean,violation_pct_std,violation_mag_mean,violation_mag_std,transmissions_mean,transmissions_std,bytes_sent_mean,bytes_sent_std,energy_mj_mean,energy_mj_std,channel_loss_pct_mean,channel_loss_pct_std,congestion_drops_mean,congestion_drops_std,avg_aoi_mean,avg_aoi_std,max_aoi_mean,max_aoi_std,fairness_mean,fairness_std
burst,risk,0.21939176119798348,0.01866452183081993,61.224009591573896,5.8335554636116225,29.97222222222222,1.8598996668181536,23.568133842100828,4.1314770745951455,284.55,5.651967519555043,5096.8,98.97665859872428,719.616,11.877199031846931,12.838877428976176,2.5150986836960567,329.55,85.32505956325893,89.24645833333334,15.996523681191745,359.95,0.22360679774997824,0.5943911601717978,0.0737899920494433
burst,round_robin,0.19499259009589615,0.013168392193680245,53.69732400569359,3.5857565920911334,46.65277777777778,7.387050182336743,49.188735759831516,13.679254039790695,360.0,0.0,6480.0,0.0,885.6,0.0,12.819444444444446,2.7737909986557243,1800.0,0.0,4.378796296296296,0.23349618377236347,22.2,4.396170582390279,0.9948757154893281,0.004182960287067574
congested,aoi,0.23091637177146745,0.016027904505270592,64.15319071354125,4.551855926704368,62.15277777777777,6.081717588306089,94.52964799596842,21.932288769458882,360.0,0.0,6481.3,11.916816954027206,885.756,1.4300180344832338,25.291666666666664,2.2084275789959498,1795.0,0.0,4.668935185185186,0.14312661860949594,14.05,1.6693837501494853,0.9999695323741351,2.4258449709242742e-05
congested,cvoi,0.1888298494478578,0.007279912193518097,50.090563100020645,1.6890645036933982,31.791666666666668,2.154439558578044,20.69163643225892,1.9320118809252869,359.55,0.5104177855340395,6469.6,9.461278427024796,884.3520000000001,1.1353534112429873,25.294529557412567,2.193680819503204,1775.35,4.648429276308474,13.279675925925925,0.4909673173108251,79.35,2.9249381459946595,0.8893894721380153,0.008665658396787306
congested,error_trigger,0.2047665206368603,0.015046928601499148,56.921670797221694,4.102948104510819,30.84722222222222,2.1582062288057378,20.912048085371985,3.386501788587112,360.0,0.0,6439.5,16.465274463485258,880.74,1.975832935618231,25.291666666666664,2.2084275789959498,1800.0,0.0,63.054722222222225,16.624149812723797,344.4,32.329553043616286,0.5234505874189062,0.08058438447099564
congested,periodic_all,0.2309054086010364,0.02995789358615363,67.83347769410133,10.80562029453856,37.44444444444444,13.186200872021365,24.64884538964329,7.736188892203741,360.0,0.0,6480.0,0.0,885.6,0.0,25.291666666666664,2.2084275789959498,1800.0,0.0,150.64129629629628,0.008121634161206493,360.0,0.0,0.8358148333212476,8.945197752887833e-05
congested,risk,0.21999343306109737,0.01869454128557282,61.448025211959305,5.997050222342091,30.34722222222222,2.050917400393265,23.37260593556553,3.816638033726157,287.2,6.794734803701427,5138.1,110.56881639004177,724.5719999999999,13.268257966804985,25.438544549548915,2.319305720311368,336.55,96.0775317400648,88.82770833333333,15.244684659847815,359.95,0.22360679774997824,0.589491431097145,0.06721067841757868
congested,round_robin,0.21447440511272314,0.01846662011593139,58.380878545440325,4.666256587524968,52.19444444444444,7.554706264616737,69.05760530623918,21.640022786271675,360.0,0.0,6480.0,0.0,885.6,0.0,25.291666666666664,2.2084275789959498,1800.0,0.0,5.486435185185185,0.26104340760929073,29.1,5.599812026920379,0.9867903535281073,0.007829340853965354
good,aoi,0.2011166982680177,0.0015729867948724272,55.384013039189696,0.5358700182010717,49.90277777777778,1.6128620249825871,57.904830582422946,1.516521655970551,360.0,0.0,6480.0,0.0,885.6,0.0,0.0,0.0,1795.0,0.0,3.4837962962962963,0.0,6.0,0.0,0.9999941899410718,0.0
good,cvoi,0.18718135469971434,0.0064685057740886025,49.57151428546242,1.5322130248437829,30.680555555555554,2.122152948870924,20.55507655634085,2.011260588632656,359.55,0.5104177855340395,6467.6,8.647482140393281,884.1119999999999,1.0376978568472277,0.0,0.0,1768.15,4.107438694804715,11.739583333333332,0.3657752068789883,74.4,1.4290224851827542,0.8803282476297423,0.006241123873066623
good,error_trigger,0.2051607461933611,0.015296460931015212,57.08206248419206,4.380156907833943,30.125,1.8236831791409773,20.303102181957165,2.7861662199274604,360.0,0.0,6448.8,16.35655349104046,881.856,1.962786418924842,0.0,0.0,1800.0,0.0,66.89043981481481,16.13582764916106,355.25,21.24264578624799,0.519918266474885,0.07488870479016803
good,periodic_all,0.23055626927519138,0.029839092500832574,67.83864850683862,10.780901204110748,36.90277777777778,13.196260262865236,24.139424429400478,7.686198316024984,360.0,0.0,6480.0,0.0,885.6,0.0,0.0,0.0,1800.0,0.0,150.58333333333334,0.0,360.0,0.0,0.8351759516315246,0.0
good,risk,0.21810635603245115,0.017334774302473367,60.849069558684825,5.385366539836759,29.84722222222222,1.9318199191772378,22.996069369757937,3.8657957634605986,284.3,4.910782979697258,5097.3,86.26586810552585,719.676,10.351904172663103,0.0,0.0,321.7,75.7239446243636,89.5887962962963,16.74774819780659,359.95,0.22360679774997824,0.5923829614807912,0.07620202869612719
good,round_robin,0.18945029081339268,0.0018697375104431628,52.35059235755371,0.5144637570069406,43.44444444444444,1.8826867561287004,44.094799309644564,1.6821142684213153,360.0,0.0,6480.0,0.0,885.6,0.0,0.0,0.0,1800.0,0.0,3.4837962962962963,0.0,6.0,0.0,0.9999941899410716,0.0
