scenario,method,n_seeds,rmse_mean,rmse_sd,rmse_ci95,iae_mean,iae_sd,iae_ci95,tx_energy_mj_mean,tx_energy_mj_sd,tx_energy_mj_ci95,baseline_energy_mj_mean,baseline_energy_mj_sd,baseline_energy_mj_ci95,total_modeled_energy_mj_mean,total_modeled_energy_mj_sd,total_modeled_energy_mj_ci95,tx_rate_pct_mean,tx_rate_pct_sd,tx_rate_pct_ci95,packet_loss_pct_mean,packet_loss_pct_sd,packet_loss_pct_ci95,violation_pct_mean,violation_pct_sd,violation_pct_ci95
Mekong-Synthetic,trigger:persistence:0.1:1.0:0.85,20,1.1763783996888681,0.0729317331537167,0.03196374135752279,211.63414864216975,16.227385812455328,7.11196540365809,1177.0,121.78929172528827,53.37651050494225,900.0,0.0,0.0,2077.0,121.78929172528827,53.37651050494225,19.682274247491637,2.03661022951987,0.8925837877080639,30.63367919287024,6.548589503900293,2.870045892342685,7.207357859531773,1.8715104034212182,0.8202255985989881
Tokyo-Bernoulli,trigger:persistence:0.1:1.0:0.85,20,3.2597643322963314,0.12166865303636418,0.05332363826834871,720.4076167549402,40.69996646164778,17.83754677128038,1830.0,208.4024446770441,91.33639846310192,900.0,0.0,0.0,2730.0,208.4024446770441,91.33639846310192,30.60200668896321,3.4849907136629454,1.5273645227943466,29.802627331147697,4.727553614687608,2.071941724944402,50.2675585284281,5.300432758427325,2.323017079770003
Tokyo-Burst,trigger:persistence:0.1:1.0:0.85,20,3.2414920570253387,0.3598116932009387,0.15769442739893316,698.2097601842366,53.46338252098771,23.431360494304506,1638.0,201.35331607583927,88.24698163915325,900.0,0.0,0.0,2538.0,201.35331607583927,88.24698163915325,27.391304347826082,3.3671123089605235,1.4757020340995528,17.648954674639842,5.700523227567591,2.498364459054897,47.94314381270903,6.223247898603161,2.7274586470534397
Mekong-Synthetic,channel:persistence:0.05:0.7:0.85,20,1.118131639798526,0.05553559641675665,0.024339548276736876,201.08239540389383,15.902111194850152,6.969407517019287,1059.0,104.5239836491833,45.80965561285547,900.0,0.0,0.0,1959.0,104.5239836491833,45.80965561285547,17.70903010033445,1.7478927031636002,0.7660477527233357,19.9319799613768,6.909152403793569,3.028069550590545,5.986622073578595,1.1478418429634163,0.5030638681038281
Tokyo-Bernoulli,channel:persistence:0.05:0.7:0.85,20,3.16836153876166,0.12433465520016185,0.05449206523336568,684.9368691264656,40.51674150258753,17.757244892408245,1689.0,182.09020321056033,79.80455019345041,900.0,0.0,0.0,2589.0,182.09020321056033,79.80455019345041,28.244147157190632,3.044986675761878,1.3345242507265955,19.046591999451238,4.455039472156173,1.952507136028453,45.434782608695656,5.745130009407832,2.517914243159544
Tokyo-Burst,channel:persistence:0.05:0.7:0.85,20,3.07091091909992,0.07740540493558895,0.033924414463327425,648.0370180898026,22.785832767900068,9.98633151462148,1609.0,125.06419404281526,54.811799728467996,900.0,0.0,0.0,2509.0,125.06419404281526,54.811799728467996,26.90635451505016,2.091374482321325,0.9165852797402673,8.166945532640826,2.930457345363805,1.284329558561821,41.08695652173914,4.373174318006601,1.9166281502937321
Mekong-Synthetic,channel:persistence:0.05:1.0:0.85,20,1.1541328239735598,0.06725045022914396,0.029473809333047107,207.11661603639828,15.046891830616238,6.594591104735454,1182.0,106.4053817396371,46.634214681362096,900.0,0.0,0.0,2082.0,106.4053817396371,46.634214681362096,19.765886287625413,1.7793542096929276,0.779836365909065,29.888397320755843,5.984655509745476,2.6228909221750696,6.471571906354515,1.40759206084485,0.6169044203970685
Tokyo-Bernoulli,channel:persistence:0.05:1.0:0.85,20,3.2210805111485454,0.11340294597206185,0.04970103242428419,701.960285845226,37.04738561447859,16.2367326340339,1895.0,164.26871438687218,71.9939383413266,900.0,0.0,0.0,2795.0,164.26871438687218,71.9939383413266,31.688963210702344,2.7469684680078963,1.203912012396766,29.275384399963137,5.276329132622458,2.3124531999924387,47.22408026755853,5.044924542961186,2.211035667005981
Tokyo-Burst,channel:persistence:0.05:1.0:0.85,20,3.2100285832063933,0.3422816488387327,0.15001154671380718,681.9282643153588,43.99244086725993,19.280537301965268,1732.0,140.13527299306946,61.41699130576677,900.0,0.0,0.0,2632.0,140.13527299306946,61.41699130576677,28.963210702341136,2.343399213930928,1.0270399883907488,17.575239067232022,3.36704028496445,1.4756704681915114,44.61538461538461,5.194185594198576,2.2764522069701174
Mekong-Synthetic,channel:persistence:0.05:1.3:0.85,20,1.1688099237758922,0.08359177170789141,0.036635709244103816,210.29868277005366,15.631984940995265,6.851019466458416,1239.0,110.21032523985076,48.30180469549875,900.0,0.0,0.0,2139.0,110.21032523985076,48.30180469549875,20.719063545150505,1.8429820274222537,0.8077224865468019,32.89754717834012,5.372765804302553,2.3547184348589405,6.789297658862877,1.719453222474018,0.7535836007582627
