record_id,route,url,outcome,detail
S23,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S24,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S25,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S26,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S27,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S28,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S29,uned_eprints,https://e-spacio.uned.es/fez/eserv/bibliuned:DptoISIA-ETSI-Articulos-Earanda-0001/Aranda_Escolastico_Ernesto_stability.pdf,HTTP_000,size=0
S31,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S32,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S37,semanticscholar_doi,https://doi.org/10.1109/access.2025.3532447,HTTP_202,size=0
S39,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S47,semanticscholar_doi,https://doi.org/10.1109/access.2025.3643617,HTTP_202,size=0
S49,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S50,semanticscholar_doi,https://dergipark.org.tr/en/download/article-file/587896,HTTP_000,size=0
S51,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S56,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S62,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S64,discovery,,NO_OA_CANDIDATE,arXiv/Semantic Scholar/repository discovery returned no lawful open PDF
S65,semanticscholar_doi,https://www.sciencedirect.com/science/article/am/pii/S1751570X20301217,HTTP_403,size=1207879
S01,doaj_fulltext,http://www.sciencedirect.com/science/article/pii/S2772375525003041,HTTP_403,
S04,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S05,wur_fulltext,https://library.wur.nl/WebQuery/wurpubs/fulltext/205106,HTTP_403,
S05,wur_edepot,https://edepot.wur.nl/205106,OK_PDF,544160 chars extracted
S09,doaj_fulltext,http://www.sciencedirect.com/science/article/pii/S2590174525000716,HTTP_403,
S11,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S12,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S13,mdpi_static,https://mdpi-res.com/d_attachment/applsci/applsci-12-04235/article_deploy/applsci-12-04235.pdf,OK_PDF,69605 chars extracted
S14,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S15,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S17,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S19,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S21,diva_kth,https://www.diva-portal.org/smash/get/diva2:586202/FULLTEXT01,HTTP_-1,
